instruction,imm_type,rs1_tag,rs2_tag,a_ctl,b_ctl,dnpc_ctl,alu_ctl,mul_ctl,exe_out_ctl,mem_ctl,wb_ctl,reg_w_en,jump_op,csr_op,ebreak_op,invalid_op
lui,IMM_TYPE_U,RS1_INVALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_MOVB,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
auipc,IMM_TYPE_U,RS1_INVALID,RS2_INVALID,A_CTL_PC,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
addi,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
slli,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SLL,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
slti,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SLT,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sltiu,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SLTU,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
xori,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_XOR,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
srli,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SRL,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
srai,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SRA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
ori,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_OR,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
andi,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_AND,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
add,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sub,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SUB,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sll,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SLL,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
slt,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SLT,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sltu,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SLTU,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
xor,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_XOR,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
srl,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SRL,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sra,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SRA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
or,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_OR,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
and,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_AND,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
addiw,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADDW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
slliw,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SLLW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
